sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00261313	0	39033	54563	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00036973	0	39033	58213	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00136014	0	39033	39422	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00257193	0	39033	55195	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.000934369	0	39033	52680	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00319686	0	39033	52289	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.000556966	0	54563	58213	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00106258	0	54563	39422	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.48326	0	54563	55195	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00134005	0	54563	52680	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00279526	0	54563	52289	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.000310325	0	58213	39422	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.000668114	0	58213	55195	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.000650558	0	58213	52680	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.000520486	0	58213	52289	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00103669	0	39422	55195	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00907711	0	39422	52680	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.000842392	0	39422	52289	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.0012729	0	55195	52680	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00282647	0	55195	52289	0
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00105216	0	52680	52289	0
