sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00144217	0	2998	2601	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00313152	0	2998	3238	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00135833	0	2998	3064	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00488732	0	2998	3020	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.0045597	0	3041	2641	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00469851	0	3041	3216	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00102749	0	3041	3378	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00142776	0	3041	2601	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00491846	0	3041	3238	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00107701	0	3041	3064	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00458592	0	3041	3020	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00303365	0	2641	3216	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00108637	0	2641	3378	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00185701	0	2641	2601	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00273373	0	2641	3238	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.0011409	0	2641	3064	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00456491	0	2641	3020	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00124844	0	3216	3378	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00221423	0	3216	2601	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.478431	0	3216	3238	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00235048	0	3216	3064	0
data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00313562	0	3216	3020	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00108814	0	3378	2601	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00123854	0	3378	3238	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.001288	0	3378	3064	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00128733	0	3378	3020	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00219479	0	2601	3238	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00716949	0	2601	3064	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00171674	0	2601	3020	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00207308	0	3238	3064	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00363071	0	3238	3020	0
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.0013488	0	3064	3020	0
